# _tick,_time,step,total_loss,mean_episode_return,mean_episode_step,pg_loss,baseline_loss,entropy_loss,rho,advantage,grad_norm
0,1690388106.4515905,0,0.004668195731937885,0.4580017626285553,70.74842834472656,0.0007358154398389161,0.004011250101029873,-7.886984531069174e-05,0.9999831914901733,-0.021529607474803925,0.17370250821113586
1,1690388122.464664,1024,-0.009423339739441872,0.5675625205039978,108.70687103271484,-0.009854433126747608,0.000567614275496453,-0.0001365209900541231,1.000056266784668,-0.07991966605186462,0.1523398458957672
2,1690388138.0730457,2048,-0.0013051771093159914,0.5901443362236023,120.33333587646484,-0.0011550718918442726,3.3796921343309805e-05,-0.00018390211334917694,0.9999556541442871,-0.08497193455696106,0.0435805544257164
3,1690388153.225317,3072,-0.0026512150652706623,0.5901443362236023,120.33333587646484,-0.0025147474370896816,6.475861300714314e-05,-0.00020122619753237814,1.0000721216201782,-0.08513952791690826,0.050932954996824265
4,1690388167.9460025,4096,0.0014037876389920712,0.5901443362236023,120.33333587646484,0.0015578697202727199,6.6511842305772e-05,-0.00022059382172301412,1.0001102685928345,-0.08392129838466644,0.1051919236779213
5,1690388182.1294837,5120,0.0032839663326740265,0.5901443362236023,120.33333587646484,0.003451272612437606,5.026060534873977e-05,-0.00021756697969976813,0.9993765354156494,-0.08417315781116486,0.05270734801888466
6,1690388196.0779157,6144,-0.0013813183177262545,0.5901443362236023,120.33333587646484,-0.0011770910350605845,3.11157746182289e-05,-0.00023534303181804717,1.0001386404037476,-0.08662678301334381,0.04434715583920479
7,1690388209.967167,7168,0.004196214023977518,0.5919333696365356,122.67791748046875,0.004373842850327492,7.306068437173963e-05,-0.0002506895107217133,0.9998236894607544,-0.08533427119255066,0.07320501655340195
8,1690388230.9665787,8192,0.00894176121801138,0.10516880452632904,21.55890464782715,0.0038249988574534655,0.005155489780008793,-3.87275758839678e-05,1.0000147819519043,-0.030086161568760872,0.2203226536512375
9,1690388245.7900612,9216,-0.005808308254927397,0.4058553874492645,68.2251205444336,-0.007252883166074753,0.001501009101048112,-5.6433949794154614e-05,1.0000035762786865,-0.08793212473392487,0.25892889499664307
10,1690388258.5244668,10240,0.006187136285007,0.5135170817375183,86.33333587646484,0.0057041235268116,0.0006087592337280512,-0.0001257463445654139,1.0000102519989014,-0.07145000249147415,0.1099020466208458
11,1690388269.8665364,11264,-0.0005250313552096486,0.5135170817375183,86.33333587646484,-0.00040465843630954623,8.178951975423843e-05,-0.00020216242410242558,0.9998762011528015,-0.08139379322528839,0.0356028750538826
12,1690388280.8722813,12288,-0.005901978816837072,0.5135170817375183,86.33333587646484,-0.005782515741884708,9.321648394688964e-05,-0.00021267958800308406,1.0000293254852295,-0.0822138711810112,0.07300538569688797
13,1690388290.8388875,13312,-0.012941582128405571,0.6179257035255432,143.64076232910156,-0.012806992046535015,0.00012973276898264885,-0.00026432244339957833,0.9998116493225098,-0.0905681848526001,0.13046163320541382
14,1690388299.9196358,14336,0.0057831029407680035,0.6698538064956665,172.1428680419922,0.006006283685564995,4.317675848142244e-05,-0.00026635738322511315,0.9997825622558594,-0.09082513302564621,0.05583251267671585
15,1690388317.8412464,15360,0.0019197113579139113,0.6231746077537537,159.92010498046875,0.0002656267024576664,0.0017508796881884336,-9.679500362835824e-05,0.9999634027481079,-0.03759124130010605,0.07781089097261429
16,1690388334.8502893,16384,0.0086915148422122,0.4606766402721405,91.03251647949219,0.006340906955301762,0.00242462195456028,-7.401433686027303e-05,0.9999310970306396,-0.005019073374569416,0.2420983463525772
17,1690388348.1168542,17408,0.004885460715740919,0.736557126045227,151.8651885986328,0.0027014832012355328,0.002230126177892089,-4.61483869003132e-05,1.0004467964172363,-0.06288889795541763,0.21297185122966766
18,1690388358.5327628,18432,-0.0014978573890402913,0.9709063768386841,223.52328491210938,-0.0020451745949685574,0.0006418998236767948,-9.458264685235918e-05,1.000009298324585,-0.08115583658218384,0.16005046665668488
19,1690388366.8936853,19456,-0.0008547701872885227,0.9915074110031128,234.57144165039062,-0.0008339022169820964,0.00016289176710415632,-0.0001837597374105826,1.0000340938568115,-0.08987173438072205,0.07193609327077866
20,1690388373.4411528,20480,-0.010487520135939121,0.9915074110031128,234.57144165039062,-0.010425888933241367,0.00016193560441024601,-0.00022356663248501718,0.9999086856842041,-0.0932522863149643,0.17849795520305634
21,1690388380.8796408,21504,0.00204788101837039,0.9915074110031128,234.57144165039062,0.002276419196277857,2.054982542176731e-05,-0.00024908807245083153,0.999998927116394,-0.09140308201313019,0.03241302818059921
22,1690388388.5532804,22528,0.0012489433865994215,0.9915074110031128,234.57144165039062,0.001468982663936913,2.5864832423394546e-05,-0.0002459040260873735,0.9999973177909851,-0.09218861162662506,0.026402965188026428
23,1690388405.3575606,23552,-0.0006064752815291286,0.8759090900421143,206.58224487304688,-0.005704265553504229,0.005183884873986244,-8.609460928710178e-05,0.9999963045120239,-0.05086097493767738,0.2621476352214813
24,1690388426.3518648,24576,0.01245040912181139,0.38549941778182983,65.4278335571289,0.007771743927150965,0.004743583966046572,-6.491914973594248e-05,1.0000929832458496,-0.032980360090732574,0.18486937880516052
25,1690388444.6647334,25600,0.003645130433142185,0.16023622453212738,21.5,0.0025242287665605545,0.001195578370243311,-7.467674004146829e-05,1.0000278949737549,-0.02317102998495102,0.0929136648774147
26,1690388459.313364,26624,0.003153068944811821,0.2528890073299408,46.27758026123047,0.002770085586234927,0.0005083898431621492,-0.00012540658644866198,0.9997884035110474,-0.027267472818493843,0.10299442708492279
27,1690388471.286503,27648,-0.005342823453247547,0.5073754191398621,114.33333587646484,-0.00525928707793355,7.748819189146161e-05,-0.000161024829139933,0.9997732639312744,-0.045136794447898865,0.04601901024580002
28,1690388482.1803257,28672,-0.004363487474620342,0.6326063275337219,189.29046630859375,-0.004255881533026695,8.293715654872358e-05,-0.0001905430544866249,0.9999364614486694,-0.05474790558218956,0.049318116158246994
29,1690388492.4006023,29696,-0.001823126571252942,0.715749204158783,242.7841796875,-0.0016667842864990234,7.417219603667036e-05,-0.00023051445896271616,1.0000555515289307,-0.060590293258428574,0.04524470865726471
30,1690388501.7857082,30720,-0.004823715891689062,0.9079918265342712,351.4041442871094,-0.004670270718634129,0.00010251602361677215,-0.0002559609420131892,1.0000765323638916,-0.07955559343099594,0.06320380419492722
31,1690388510.8348773,31744,0.003333915490657091,0.9540157318115234,373.8333435058594,0.0035427978727966547,4.233447543811053e-05,-0.00025121684302575886,0.9999509453773499,-0.08220139145851135,0.05954786390066147
32,1690388528.0413935,32768,-0.012526080012321472,0.7233325242996216,280.07861328125,-0.01726588048040867,0.004861362278461456,-0.00012156136654084548,0.9999188184738159,-0.06505709886550903,0.2860623300075531
33,1690388545.1243038,33792,-0.001823228201828897,0.17999517917633057,45.244895935058594,-0.003993149381130934,0.002202375791966915,-3.245463449275121e-05,0.9992051720619202,-0.04912805184721947,0.21263255178928375
34,1690388559.0427067,34816,0.0020711098331958055,0.3188342750072479,74.58509063720703,0.0005149702192284167,0.0015991731779649854,-4.303360765334219e-05,1.000011920928955,-0.06350955367088318,0.1663530021905899
35,1690388570.9806776,35840,0.00202777236700058,0.5344544649124146,119.42857360839844,0.0021469639614224434,5.122394941281527e-05,-0.00017041561659425497,0.9999886155128479,-0.09030600637197495,0.05828593671321869
36,1690388588.039073,36864,0.002202612115070224,0.4725843071937561,102.95602416992188,-0.004503214731812477,0.00678095081821084,-7.512399315601215e-05,0.9999773502349854,-0.062413349747657776,0.29426684975624084
37,1690388602.909421,37888,0.0029428889974951744,0.32799726724624634,52.21754455566406,0.0005959495319984853,0.0023608107585459948,-1.3871251212549396e-05,1.0040589570999146,-0.029836159199476242,0.3402493894100189
38,1690388615.751405,38912,-0.009397412650287151,0.4180157780647278,61.60000228881836,-0.009594875387847424,0.00032977215596474707,-0.00013230960757937282,1.0000898838043213,-0.0661667138338089,0.09740941226482391
39,1690388626.8073888,39936,-0.004816433880478144,0.5042373538017273,86.26667022705078,-0.0048444378189742565,0.00016553323075640947,-0.00013752929226029664,1.0001245737075806,-0.06344842910766602,0.0705234482884407
40,1690388636.2532609,40960,-0.0026996347587555647,0.6163254976272583,118.33333587646484,-0.0025489532854408026,4.2722647776827216e-05,-0.0001934040483320132,1.000033974647522,-0.0693872720003128,0.024540744721889496
41,1690388644.7238355,41984,-0.00223092851229012,0.6163254976272583,118.33333587646484,-0.002062238287180662,2.8833721444243565e-05,-0.0001975239283638075,1.0000139474868774,-0.06893524527549744,0.02574109099805355
42,1690388652.3027785,43008,0.0038106138817965984,0.7655395865440369,202.14859008789062,0.004003600683063269,2.3399323254125193e-05,-0.00021638635371346027,0.9999901056289673,-0.07901644706726074,0.0450655072927475
43,1690388659.4529364,44032,-0.0018030350329354405,0.7665466666221619,202.71429443359375,-0.0016445210203528404,8.149909263011068e-05,-0.00024001309066079557,0.9999721646308899,-0.08092793822288513,0.045950841158628464
44,1690388675.1831882,45056,0.004758433438837528,0.5636916160583496,144.6438751220703,-0.0027411726769059896,0.007589296903461218,-8.969101327238604e-05,1.0000029802322388,-0.06827616691589355,0.29221421480178833
45,1690388690.7230701,46080,0.008020097389817238,0.2546451985836029,40.28693771362305,0.005710356868803501,0.00238451873883605,-7.477773760911077e-05,0.9997805953025818,-0.06273593008518219,0.21441568434238434
